EQUINOR  N-1 DC Monitored Facility Loadings[TARA Ver 2302.2.0.0 64-bit - Thu Jul 17 13:46:52 2025]

 Loadflow Case: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_EPE_pp10DEL_C0_v2 (3).raw
 Study Data File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Sub.sub
 Contingency File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_CTGs.con (total 5674 contingencies)
 Monitor File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Mon.mon (0.0% loading cutoff)
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 Monitored Facility                                   ,Fr Bus,Fr Name,To Bus,To Name,CKT,kVs,Areas,Zones Name,Rate Base (MVA),Rate Cont (MVA), Cont Name                                                      ,Cont ID,Base Flow (MW),Cont Flow (MW),Final DC %Loading,Severity Rank,Dfax FromTo Bus 113987,Dfax ToFrom Bus 113987,Dfax Harmer Positive (based on flow direction) Bus 113987,
121021 BUNKER HL 85  115  121060 TOWANTIC      115  1  ,121021,BUNKER HL 85,121060,TOWANTIC,1 ,115 ,101,CT_SOUTHWT_P,     348.0,     455.0,LN_1029,  1148,-131.9,-204.9,     45.04,4,  -0.00016,   0.00016,   0.00016,
100128 YARMOUTH      115  100133 MOSHERS       115  1  ,100128,YARMOUTH,100133,MOSHERS,1 ,115 ,101,ME_CMP_P,     167.0,     193.0,BO_164-2,  2402,32.5,86.9,     45.03,3,   0.00000,  -0.00000,   0.00000,
100128 YARMOUTH      115  100133 MOSHERS       115  1  ,100128,YARMOUTH,100133,MOSHERS,1 ,115 ,101,ME_CMP_P,     167.0,     193.0,BF_YARM_G2,  4992,32.5,86.9,     45.03,4,   0.00000,  -0.00000,   0.00000,
100128 YARMOUTH      115  100133 MOSHERS       115  1  ,100128,YARMOUTH,100133,MOSHERS,1 ,115 ,101,ME_CMP_P,     167.0,     193.0,BS_YARMTH_12,  3219,32.5,86.9,     45.03,2,   0.00000,  -0.00000,   0.00000,
100128 YARMOUTH      115  100133 MOSHERS       115  1  ,100128,YARMOUTH,100133,MOSHERS,1 ,115 ,101,ME_CMP_P,     167.0,     193.0,BF_YARM_G1,  4991,32.5,86.9,     45.03,5,   0.00000,  -0.00000,   0.00000,
110906 E.WEYMTH 508  115  110952 UG-OH_508     115  1  ,110906,E.WEYMTH 508,110952,UG-OH_508,1 ,115 ,101,MA_SOUTHRN_P,     226.0,     293.0,BF_GROVE_91,  3880,92.0,131.9,     45.02,4,  -0.00000,   0.00000,  -0.00000,
110906 E.WEYMTH 508  115  110952 UG-OH_508     115  1  ,110906,E.WEYMTH 508,110952,UG-OH_508,1 ,115 ,101,MA_SOUTHRN_P,     226.0,     293.0,BF_HOLBR_2,  3928,92.0,131.9,     45.02,5,  -0.00000,   0.00000,  -0.00000,
110906 E.WEYMTH 508  115  110952 UG-OH_508     115  1  ,110906,E.WEYMTH 508,110952,UG-OH_508,1 ,115 ,101,MA_SOUTHRN_P,     226.0,     293.0,LN_478-509,  1575,92.0,131.9,     45.02,6,  -0.00000,   0.00000,  -0.00000,
110906 E.WEYMTH 508  115  110952 UG-OH_508     115  1  ,110906,E.WEYMTH 508,110952,UG-OH_508,1 ,115 ,101,MA_SOUTHRN_P,     226.0,     293.0,BF_EDGAR_10,  3655,92.0,131.9,     45.02,7,  -0.00000,   0.00000,  -0.00000,
110906 E.WEYMTH 508  115  110952 UG-OH_508     115  1  ,110906,E.WEYMTH 508,110952,UG-OH_508,1 ,115 ,101,MA_SOUTHRN_P,     226.0,     293.0,BF_HOLBR_3,  3929,92.0,131.9,     45.02,8,  -0.00000,   0.00000,  -0.00000,
110904 SWIFTS B_TAP  115  110909 UG-OH_502     115  1  ,110904,SWIFTS B_TAP,110909,UG-OH_502,1 ,115 ,101,MA_SOUTHRN_P,     239.0,     296.0,Base Case ,     0,107.6,    -    ,     45.02,0,  -0.00000,   0.00000,  -0.00000,
120245 BERLIN CT     115  120272 NEWINGTON     115  1  ,120245,BERLIN CT,120272,NEWINGTON,1 ,115 ,101,CT_HARTFRD_P,     174.0,     199.0,BF_NWNGTN_2T,  4350,34.6,89.5,     45.00,1,   0.00000,  -0.00000,   0.00000,
113315 WACHUSETT    69.0  113332 FITCH ROAD   69.0  1  ,113315,WACHUSETT,113332,FITCH ROAD,1 ,69 ,101,MA_NG_CENT_T,     140.0,     173.0,BF_PRAT_TIE,  5341,50.1,77.8,     44.98,1,   0.02450,  -0.02450,   0.02450,
120038 BARBOUR HILL  115  120047 ROCKVILLE-1   115  1  ,120038,BARBOUR HILL,120047,ROCKVILLE-1,1 ,115 ,101,CT_MANCHST_P,     114.0,     137.0,LN_1724,  1379,37.9,61.6,     44.98,1,   0.00000,  -0.00000,   0.00000,
120038 BARBOUR HILL  115  120047 ROCKVILLE-1   115  1  ,120038,BARBOUR HILL,120047,ROCKVILLE-1,1 ,115 ,101,CT_MANCHST_P,     114.0,     137.0,BF_BARBH_21T,  3296,37.9,61.6,     44.98,2,   0.00000,  -0.00000,   0.00000,
120821 DEVON-2       115  120842 DEVON RR_T    115  1  ,120821,DEVON-2,120842,DEVON RR_T,1 ,115 ,101,CT_SOUTHWT_P,     337.0,     436.0,Base Case ,     0,151.5,    -    ,     44.96,0,  -0.00012,   0.00012,  -0.00012,
109528 VERNON VT    69.0  113046 DEERFIELD 4  69.0  1  ,109528,VERNON VT,113046,DEERFIELD 4,1 ,69 ,101,VT_NGRID_T/MA_NG_WEST_T,      69.0,      82.0,TF_SBRK_GSU,   284,-25.4,-36.9,     44.95,5,  -0.00003,   0.00003,   0.00003,
104143 SCOBIE POND   345  104162 EAGLE         345  1  ,104143,SCOBIE POND,104162,EAGLE,1 ,345 ,101,NH_SOUTHRN_P,    1358.0,    1358.0,DC_381_N186_NPCC,   709,352.6,610.4,     44.95,3,  -0.00619,   0.00619,  -0.00619,
111810 K STREET 4    345  110837 K STREET 2    115  1  ,111810,K STREET 4,110837,K STREET 2,1 ,345/115 ,101,MA_BOSTON_P,     631.0,     703.0,BF_SEBRK_169,   593,249.8,316.0,     44.95,10,  -0.04399,   0.04399,  -0.04399,
113950 SANDY POND    345  999981 SANDY POND    115  1  ,113950,SANDY POND,999981,SANDY POND,1 ,345/115 ,101,MA_MRMKVLY_T,     528.0,     572.0,BF_SNDPD_137,   600,216.0,257.1,     44.95,9,  -0.05318,   0.05318,  -0.05318,
113950 SANDY POND    345  999981 SANDY POND    115  1  ,113950,SANDY POND,999981,SANDY POND,1 ,345/115 ,101,MA_MRMKVLY_T,     528.0,     572.0,LN_337,   103,216.0,257.1,     44.95,10,  -0.05318,   0.05318,  -0.05318,
113279 CARPENTER HL  115  113287 NORTH OXFORD  115  1  ,113279,CARPENTER HL,113287,NORTH OXFORD,1 ,115 ,101,MA_NG_CENT_T,     359.0,     446.0,DC_O141W_142_NPCC,  5165,166.5,200.4,     44.94,8,   0.02545,  -0.02545,   0.02545,
119116 N-BLOOMFIELD  345  120290 N-BLOOMFIELD  115  1  ,119116,N-BLOOMFIELD,120290,N-BLOOMFIELD,1 ,345/115 ,101,CT_HARTFRD_P,     478.0,     554.0,BF_NBLMF_20T,  4269,177.4,249.0,     44.94,6,  -0.00677,   0.00677,  -0.00677,
113962 PINEHURST     115  115030 NGR_N140_NST  115  1  ,113962,PINEHURST,115030,NGR_N140_NST,1 ,115 ,101,MA_MRMKVLY_T/BORDER-BUS,     359.0,     409.0,LN_M139_503,  1829,120.0,183.7,     44.92,5,   0.11896,  -0.11896,   0.11896,
113962 PINEHURST     115  115030 NGR_N140_NST  115  1  ,113962,PINEHURST,115030,NGR_N140_NST,1 ,115 ,101,MA_MRMKVLY_T/BORDER-BUS,     359.0,     409.0,BF_WOBRN_3,  4949,120.0,183.7,     44.92,2,   0.11896,  -0.11896,   0.11896,
113962 PINEHURST     115  115030 NGR_N140_NST  115  1  ,113962,PINEHURST,115030,NGR_N140_NST,1 ,115 ,101,MA_MRMKVLY_T/BORDER-BUS,     359.0,     409.0,BF_TWKS_M139,  4784,120.0,183.7,     44.92,3,   0.11896,  -0.11896,   0.11896,
113962 PINEHURST     115  115030 NGR_N140_NST  115  1  ,113962,PINEHURST,115030,NGR_N140_NST,1 ,115 ,101,MA_MRMKVLY_T/BORDER-BUS,     359.0,     409.0,BF_WOBRN_1,  4939,120.0,183.7,     44.92,4,   0.11896,  -0.11896,   0.11896,
120101 1786_T        115  120128 SOUTH MEADOW  115  1  ,120101,1786_T,120128,SOUTH MEADOW,1 ,115 ,101,CT_HARTFRD_P,     293.0,     340.0,BF_MANCH_5T,  4112,95.9,152.7,     44.92,3,   0.00146,  -0.00146,   0.00146,
113986 SANDY POND    115  999981 SANDY POND    115  1  ,113986,SANDY POND,999981,SANDY POND,1 ,115 ,101,MA_MRMKVLY_T,     528.0,     572.0,BF_SNDPD_137,   600,-215.8,-256.9,     44.92,9,   0.05318,  -0.05318,  -0.05318,
113986 SANDY POND    115  999981 SANDY POND    115  1  ,113986,SANDY POND,999981,SANDY POND,1 ,115 ,101,MA_MRMKVLY_T,     528.0,     572.0,LN_337,   103,-215.8,-256.9,     44.92,10,   0.05318,  -0.05318,  -0.05318,
113009 DEERFIELD 4   115  113046 DEERFIELD 4  69.0  1  ,113009,DEERFIELD 4,113046,DEERFIELD 4,1 ,115/69 ,101,MA_NG_WEST_T,     130.0,     139.0,BF_PRAT_802,  4439,47.8,62.4,     44.92,5,   0.00504,  -0.00504,   0.00504,
120101 1786_T        115  120128 SOUTH MEADOW  115  1  ,120101,1786_T,120128,SOUTH MEADOW,1 ,115 ,101,CT_HARTFRD_P,     293.0,     340.0,LN_1775,  1403,95.9,152.7,     44.90,5,   0.00143,  -0.00143,   0.00143,
120101 1786_T        115  120128 SOUTH MEADOW  115  1  ,120101,1786_T,120128,SOUTH MEADOW,1 ,115 ,101,CT_HARTFRD_P,     293.0,     340.0,BF_SMEAD_2,  4632,95.9,152.7,     44.90,4,   0.00143,  -0.00143,   0.00143,
121253 PLUMTREE      115  119285 PLUMTREE      345  2  ,121253,PLUMTREE,119285,PLUMTREE,2 ,115/345 ,101,CT_SOUTHWT_P,     478.0,     552.0,BF_PLUMT_27T,  4419,-173.4,-247.8,     44.88,6,   0.00030,  -0.00030,  -0.00030,
120848 ES_1780_UI    115  123233 DEVON TIE_80  115  1  ,120848,ES_1780_UI,123233,DEVON TIE_80,1 ,115 ,101,BORDER-BUS/CT_UI-SWCT_P,     340.0,     439.0,Base Case ,     0,152.6,    -    ,     44.88,0,  -0.00012,   0.00012,  -0.00012,
103725 N133_NORTH_T  115  103730 N133_SOUTH_T  115  1  ,103725,N133_NORTH_T,103730,N133_SOUTH_T,1 ,115 ,101,NH_SEACOST_P,     337.0,     436.0,BO_R169,  2537,129.6,195.7,     44.88,1,  -0.00138,   0.00138,  -0.00138,
115713 DIGHTON U6_T  115  115714 DIGHTON_U6    115  1  ,115713,DIGHTON U6_T,115714,DIGHTON_U6,1 ,115 ,101,MA_NG_FALR_T,     191.0,     206.0,Base Case ,     0,85.7,    -    ,     44.87,0,   0.00306,  -0.00306,   0.00306,
119718 MONTVILLE     115  119180 MONTVILE_364  345  1  ,119718,MONTVILLE,119180,MONTVILE_364,1 ,115/345 ,101,CT_EASTERN_P,     467.0,     542.0,Base Case ,     0,-209.5,    -    ,     44.86,0,   0.00627,  -0.00627,  -0.00627,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,BF_IMR_W10T,  3950,-59.4,-77.2,     44.86,3,  -0.00213,   0.00213,   0.00213,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,LN_H17-W,  1751,-59.4,-77.2,     44.86,2,  -0.00213,   0.00213,   0.00213,
120886 ES_1714_UI    115  120929 WESTON        115  1  ,120886,ES_1714_UI,120929,WESTON,1 ,115 ,101,BORDER-BUS/CT_NOR-STN_P,     174.0,     202.0,BF_NRWLK_7T,  4335,57.7,90.6,     44.86,2,   0.00007,  -0.00007,   0.00007,
107400 SANDBAR       115  107450 ESSEX         115  1  ,107400,SANDBAR,107450,ESSEX,1 ,115 ,101,VT_VELCO_P,     210.0,     245.0,BF_GEO_K2180,  3823,72.5,109.9,     44.85,5,   0.00546,  -0.00546,   0.00546,
114419 W SALEM_46    115  114424 BARTHOLMW_46  115  1  ,114419,W SALEM_46,114424,BARTHOLMW_46,1 ,115 ,101,MA_NG_NRSH_T,     359.0,     446.0,Base Case ,     0,161.0,    -    ,     44.85,0,  -0.00661,   0.00661,  -0.00661,
110871 SPEEN STREET  115  110878 SAXONVILLE    115  1  ,110871,SPEEN STREET,110878,SAXONVILLE,1 ,115 ,101,MA_BOSTON_P,     325.0,     399.0,BF_WMDWY_110_MEDWAY,   658,70.4,178.9,     44.85,2,  -0.04530,   0.04530,  -0.04530,
110871 SPEEN STREET  115  110878 SAXONVILLE    115  1  ,110871,SPEEN STREET,110878,SAXONVILLE,1 ,115 ,101,MA_BOSTON_P,     325.0,     399.0,LN_342-603,   751,70.4,178.9,     44.85,3,  -0.04530,   0.04530,  -0.04530,
110871 SPEEN STREET  115  110878 SAXONVILLE    115  1  ,110871,SPEEN STREET,110878,SAXONVILLE,1 ,115 ,101,MA_BOSTON_P,     325.0,     399.0,TF_WMED_345A,   321,70.4,178.9,     44.85,4,  -0.04530,   0.04530,  -0.04530,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,NF_H17-1,  2841,-59.4,-77.1,     44.84,4,  -0.00213,   0.00213,   0.00213,
120344 TORRINGTON T  115  120398 CAMPVILLE     115  1  ,120344,TORRINGTON T,120398,CAMPVILLE,1 ,115 ,101,CT_NORTHWT_P,     174.0,     202.0,NF_1732-2,  2651,-48.9,-90.6,     44.84,1,  -0.00149,   0.00149,   0.00149,
110871 SPEEN STREET  115  110878 SAXONVILLE    115  1  ,110871,SPEEN STREET,110878,SAXONVILLE,1 ,115 ,101,MA_BOSTON_P,     325.0,     399.0,BO_282-602,   804,70.4,178.9,     44.84,5,  -0.04530,   0.04530,  -0.04530,
123316 BRPT RESCO_T  115  123412 ASH CREEK     115  1  ,123316,BRPT RESCO_T,123412,ASH CREEK,1 ,115 ,101,CT_UI-SWCT_P/CT_UI-NWST_P,     340.0,     439.0,BF_NRWLK_10T,  4326,159.7,196.8,     44.84,1,   0.00010,  -0.00010,   0.00010,
113279 CARPENTER HL  115  113287 NORTH OXFORD  115  1  ,113279,CARPENTER HL,113287,NORTH OXFORD,1 ,115 ,101,MA_NG_CENT_T,     359.0,     446.0,TF_CARP_HL_1,   199,166.5,199.9,     44.83,9,  -0.02360,   0.02360,  -0.02360,
106023 GOLDEN ROCK   115  113991 W METHUEN     115  1  ,106023,GOLDEN ROCK,113991,W METHUEN,1 ,115 ,101,NH_NG_GEC_T/MA_MRMKVLY_T,     359.0,     446.0,LN_397,   171,116.6,199.8,     44.81,2,  -0.06788,   0.06788,  -0.06788,
114746 DEPOT ST29_T  115  114845 MLFD PWR29_T  115  1  ,114746,DEPOT ST29_T,114845,MLFD PWR29_T,1 ,115 ,101,MA_NG_SEMA_T,     170.0,     208.0,Base Case ,     0,-76.2,    -    ,     44.80,0,   0.00016,  -0.00016,  -0.00016,
110767 KINGSTON_2    345  110831 KINGSTN ST E  115  1  ,110767,KINGSTON_2,110831,KINGSTN ST E,1 ,345/115 ,101,MA_BOSTON_P,     472.0,     540.0,BF_KING_2,  3991,187.7,241.9,     44.79,9,   0.05511,  -0.05511,   0.05511,
120434 BRISTOL CT    115  120444 FORESTVIL 25  115  1  ,120434,BRISTOL CT,120444,FORESTVIL 25,1 ,115 ,101,CT_NORTHWT_P,     114.0,     122.0,NF_1810-1,  2675,-5.2,-54.6,     44.79,4,  -0.00044,   0.00044,   0.00044,
110767 KINGSTON_2    345  110831 KINGSTN ST E  115  1  ,110767,KINGSTON_2,110831,KINGSTN ST E,1 ,345/115 ,101,MA_BOSTON_P,     472.0,     540.0,DC_3161-502W_NPCC_NERC,   674,187.7,241.8,     44.79,10,   0.03712,  -0.03712,   0.03712,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,LN_H17,  1750,-59.4,-77.0,     44.78,5,  -0.00213,   0.00213,   0.00213,
117343 W CRANSTN_72  115  117461 SHUN PIKE     115  1  ,117343,W CRANSTN_72,117461,SHUN PIKE,1 ,115 ,101,RI_PROVIDC_T,     446.0,     446.0,LN_S171S,  1896,-140.4,-199.7,     44.78,8,   0.00132,  -0.00132,  -0.00132,
117343 W CRANSTN_72  115  117461 SHUN PIKE     115  1  ,117343,W CRANSTN_72,117461,SHUN PIKE,1 ,115 ,101,RI_PROVIDC_T,     446.0,     446.0,BF_RIDGWD_1D,  4512,-140.4,-199.7,     44.78,9,   0.00132,  -0.00132,  -0.00132,
119194 MILLSTONE     345  119209 HADDAM        345  1  ,119194,MILLSTONE,119209,HADDAM,1 ,345 ,101,CT_EASTERN_P/CT_MIDDTWN_P,    1463.0,    1884.0,TF_MONTV_19X,   248,584.3,843.6,     44.78,3,   0.01176,  -0.01176,   0.01176,
119194 MILLSTONE     345  119209 HADDAM        345  1  ,119194,MILLSTONE,119209,HADDAM,1 ,345 ,101,CT_EASTERN_P/CT_MIDDTWN_P,    1463.0,    1884.0,LN_371,   145,584.3,843.6,     44.78,2,   0.01176,  -0.01176,   0.01176,
100101 RUMFORD       115  100168 WOODSTOCK     115  1  ,100101,RUMFORD,100168,WOODSTOCK,1 ,115 ,101,ME_CMP_P,     283.0,     283.0,BF_LVRMR_089,  4086,98.0,126.7,     44.77,5,  -0.00000,   0.00000,  -0.00000,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,NF_H17-2,  2842,-59.4,-77.0,     44.76,7,  -0.00213,   0.00213,   0.00213,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,BO_H17-2,  2481,-59.4,-77.0,     44.76,6,  -0.00213,   0.00213,   0.00213,
113279 CARPENTER HL  115  113306 MILLENIUM     115  1  ,113279,CARPENTER HL,113306,MILLENIUM,1 ,115 ,101,MA_NG_CENT_T,     419.0,     482.0,TF_MLST_GSU,  2075,-317.9,-215.7,     44.75,2,   0.00428,  -0.00428,  -0.00428,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,DC_H17_R9_NPCC,  5149,-59.4,-77.0,     44.74,8,  -0.00213,   0.00213,   0.00213,
100005 COOPERS MILL  345  100086 MAINE YANKEE  345  1  ,100005,COOPERS MILL,100086,MAINE YANKEE,1 ,345 ,101,ME_CMP_P,    1429.0,    1429.0,BF_COOP_2425,   465,412.2,639.4,     44.74,3,   0.00001,  -0.00001,   0.00001,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,BF_IMR_H1710T,  3949,-59.4,-77.0,     44.74,9,  -0.00213,   0.00213,   0.00213,
104748 SCOBIE POND   115  104750 SCOBIE T30    115  1  ,104748,SCOBIE POND,104750,SCOBIE T30,1 ,115 ,101,NH_SOUTHRN_P,     524.0,     543.0,BF_TWKS_22T-1,   850,-157.1,-242.9,     44.74,1,   0.01534,  -0.01534,  -0.01534,
100237 BOLT-HILL_T4  115  103727 ES_N133N_CMP  115  1  ,100237,BOLT-HILL_T4,103727,ES_N133N_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,      53.0,      53.0,Base Case ,     0,-23.7,    -    ,     44.74,0,  -0.00002,   0.00002,   0.00002,
115712 SWANSEA       115  115743 GRAND ARMY    115  1  ,115712,SWANSEA,115743,GRAND ARMY,1 ,115 ,101,MA_NG_FALR_T,     160.0,     172.0,BF_IMR_1720T,  3948,-59.4,-77.0,     44.74,10,  -0.00213,   0.00213,   0.00213,
100230 LARRABEE RD   115  100523 LEEDS         115  1  ,100230,LARRABEE RD,100523,LEEDS,1 ,115 ,101,ME_CMP_P,     226.0,     226.0,Base Case ,     0,-101.1,    -    ,     44.73,0,  -0.00000,   0.00000,   0.00000,
113292 PRATTS JCT    115  113307 PRATJ BANK1   115  1  ,113292,PRATTS JCT,113307,PRATJ BANK1,1 ,115 ,101,MA_NG_CENT_T,     198.0,     236.0,BF_PRAT_2110,  4436,51.1,105.6,     44.73,6,   0.04413,  -0.04413,   0.04413,
100117 LIVERMORE FL  115  100230 LARRABEE RD   115  1  ,100117,LIVERMORE FL,100230,LARRABEE RD,1 ,115 ,101,ME_CMP_P,     275.0,     283.0,LN_278N,  1531,106.1,126.5,     44.71,9,   0.00000,  -0.00000,   0.00000,
100117 LIVERMORE FL  115  100230 LARRABEE RD   115  1  ,100117,LIVERMORE FL,100230,LARRABEE RD,1 ,115 ,101,ME_CMP_P,     275.0,     283.0,BF_STARK_278,  4694,106.1,126.5,     44.71,10,   0.00000,  -0.00000,   0.00000,
120452 SOUTHINGTN-1  115  119233 SOUTHINGTON   345  2  ,120452,SOUTHINGTN-1,119233,SOUTHINGTON,2 ,115/345 ,101,CT_HARTFRD_P,     415.0,     481.0,Base Case ,     0,-185.5,    -    ,     44.70,0,  -0.00102,   0.00102,   0.00102,
120155 NW-HARTFORD   115  120173 BLOOMFIELD_J  115  1  ,120155,NW-HARTFORD,120173,BLOOMFIELD_J,1 ,115 ,101,CT_HARTFRD_P,     174.0,     223.0,BF_SMEAD_3,  4633,-74.8,-99.6,     44.69,2,   0.00085,  -0.00085,  -0.00085,
120155 NW-HARTFORD   115  120173 BLOOMFIELD_J  115  1  ,120155,NW-HARTFORD,120173,BLOOMFIELD_J,1 ,115 ,101,CT_HARTFRD_P,     174.0,     223.0,DC_1775_1786_NPCC_NERC,  5111,-74.8,-99.6,     44.69,3,   0.00085,  -0.00085,  -0.00085,
100126 BRANCH BROOK  115  100163 MAGUIRE ROAD  115  1  ,100126,BRANCH BROOK,100163,MAGUIRE ROAD,1 ,115 ,101,ME_CMP_P,      70.0,      70.0,BF_FNR_QUAKRHL,  3758,-27.2,-31.3,     44.68,5,  -0.00001,   0.00001,   0.00001,
113315 WACHUSETT    69.0  113332 FITCH ROAD   69.0  1  ,113315,WACHUSETT,113332,FITCH ROAD,1 ,69 ,101,MA_NG_CENT_T,     140.0,     173.0,BF_PRAT_160,  5337,50.1,77.3,     44.68,2,   0.02419,  -0.02419,   0.02419,
109528 VERNON VT    69.0  113046 DEERFIELD 4  69.0  1  ,109528,VERNON VT,113046,DEERFIELD 4,1 ,69 ,101,VT_NGRID_T/MA_NG_WEST_T,      69.0,      82.0,BF_PRAT_801,  4438,-25.4,-36.6,     44.68,6,   0.00038,  -0.00038,  -0.00038,
117327 DRUMROCK      115  117342 W CRANSTN_71  115  1  ,117327,DRUMROCK,117342,W CRANSTN_71,1 ,115 ,101,RI_PROVIDC_T,     359.0,     446.0,LN_T172S,  1907,-110.1,-199.2,     44.67,2,   0.00121,  -0.00121,  -0.00121,
110868 SHERBORN      115  110870 FRAMINGHAM    115  1  ,110868,SHERBORN,110870,FRAMINGHAM,1 ,115 ,101,MA_BOSTON_P,     230.0,     290.0,BF_WMDWY_101,   651,31.5,129.5,     44.67,2,  -0.05456,   0.05456,  -0.05456,
113315 WACHUSETT    69.0  113332 FITCH ROAD   69.0  1  ,113315,WACHUSETT,113332,FITCH ROAD,1 ,69 ,101,MA_NG_CENT_T,     140.0,     173.0,BS_PRAT069_1,  5293,50.1,77.3,     44.67,3,   0.02419,  -0.02419,   0.02419,
104825 N-MERRIMACK   115  104836 GREGGS        115  1  ,104825,N-MERRIMACK,104836,GREGGS,1 ,115 ,101,NH_SOUTHRN_P,     293.0,     318.0,BF_DRFD_7518,  3606,113.4,142.0,     44.67,9,  -0.01171,   0.01171,  -0.01171,
123315 PEQUONNOCK    115  123771 SINGER_55PEQ  115  1  ,123315,PEQUONNOCK,123771,SINGER_55PEQ,1 ,115 ,101,CT_UI-SWCT_P,     627.0,     677.0,DC_387_1537_NPCC_NERC,   714,-236.0,-302.4,     44.66,1,  -0.00013,   0.00013,   0.00013,
100126 BRANCH BROOK  115  100163 MAGUIRE ROAD  115  1  ,100126,BRANCH BROOK,100163,MAGUIRE ROAD,1 ,115 ,101,ME_CMP_P,      70.0,      70.0,BF_QKHL_1405,  4477,-27.2,-31.3,     44.65,6,  -0.00001,   0.00001,   0.00001,
113286 MILLBURY      115  113287 NORTH OXFORD  115  1  ,113286,MILLBURY,113287,NORTH OXFORD,1 ,115 ,101,MA_NG_CENT_T,     301.0,     359.0,DC_O141S_142_NPCC_NERC,  5163,-138.5,-160.3,     44.65,10,  -0.01142,   0.01142,   0.01142,
113315 WACHUSETT    69.0  113332 FITCH ROAD   69.0  1  ,113315,WACHUSETT,113332,FITCH ROAD,1 ,69 ,101,MA_NG_CENT_T,     140.0,     173.0,BF_PRAT_A1S,  5339,50.1,77.2,     44.64,4,   0.02417,  -0.02417,   0.02417,
104191 ES_381_VEL    345  107040 VERNON VT     345  1  ,104191,ES_381_VEL,107040,VERNON VT,1 ,345 ,101,BORDER-BUS/VT_VELCO_P,    1276.0,    1491.0,GN_GRNTE_CC,   738,499.7,665.5,     44.64,6,  -0.14319,   0.14319,  -0.14319,
117343 W CRANSTN_72  115  117461 SHUN PIKE     115  1  ,117343,W CRANSTN_72,117461,SHUN PIKE,1 ,115 ,101,RI_PROVIDC_T,     446.0,     446.0,BF_DRMRK_189,  3609,-140.4,-199.1,     44.63,10,   0.00129,  -0.00129,  -0.00129,
110900 HOLBROOK      115  110952 UG-OH_508     115  1  ,110900,HOLBROOK,110952,UG-OH_508,1 ,115 ,101,MA_SOUTHRN_P,     276.0,     325.0,BF_EDGAR_11,  3656,-91.5,-145.1,     44.63,2,   0.00000,  -0.00000,  -0.00000,
113315 WACHUSETT    69.0  113332 FITCH ROAD   69.0  1  ,113315,WACHUSETT,113332,FITCH ROAD,1 ,69 ,101,MA_NG_CENT_T,     140.0,     173.0,BF_PRAT_U21,  5342,50.1,77.2,     44.63,5,   0.02416,  -0.02416,   0.02416,
120074 MANCHESTER    115  119077 MANCHESTER    345  3  ,120074,MANCHESTER,119077,MANCHESTER,3 ,115/345 ,101,CT_MANCHST_P,     425.0,     491.0,BF_MANCH_4T,  4111,-171.8,-219.1,     44.63,6,  -0.00152,   0.00152,   0.00152,
110900 HOLBROOK      115  110910 UG-OH_503     115  1  ,110900,HOLBROOK,110910,UG-OH_503,1 ,115 ,101,MA_SOUTHRN_P,     276.0,     325.0,BF_EDGAR_11,  3656,-90.7,-145.0,     44.62,2,   0.00000,  -0.00000,  -0.00000,
113969 BILERCA 39_T  115  113987 TEWKSBURY     115  1  ,113969,BILERCA 39_T,113987,TEWKSBURY,1 ,115 ,101,MA_MRMKVLY_T,     359.0,     442.0,Base Case ,     0,-160.2,    -    ,     44.62,0,  -0.10874,   0.10874,   0.10874,
