EQUINOR  N-1 DC Monitored Facility Loadings[TARA Ver 2302.2.0.0 64-bit - Thu Jul 17 13:46:52 2025]

 Loadflow Case: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_EPE_pp10DEL_C0_v2 (3).raw
 Study Data File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Sub.sub
 Contingency File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_CTGs.con (total 5674 contingencies)
 Monitor File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Mon.mon (0.0% loading cutoff)
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 Monitored Facility                                   ,Fr Bus,Fr Name,To Bus,To Name,CKT,kVs,Areas,Zones Name,Rate Base (MVA),Rate Cont (MVA), Cont Name                                                      ,Cont ID,Base Flow (MW),Cont Flow (MW),Final DC %Loading,Severity Rank,Dfax FromTo Bus 113987,Dfax ToFrom Bus 113987,Dfax Harmer Positive (based on flow direction) Bus 113987,
117356 TIVERTON_L14  115  118124 NGR_L14_CON   115  1  ,117356,TIVERTON_L14,118124,NGR_L14_CON,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     215.0,     289.0,BF_BELRK_311,  3323,-141.5,-274.4,     94.94,1,   0.00000,  -0.00000,  -0.00000,
110889 BAKER ST B    115  110891 HYDE PARK A   115  1  ,110889,BAKER ST B,110891,HYDE PARK A,1 ,115 ,101,MA_BOSTON_P,     190.0,     235.0,BO_HYDEPK_2,  2487,-89.6,-222.9,     94.84,1,   0.00652,  -0.00652,  -0.00652,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,NF_140-1,  2610,143.6,213.6,     94.51,1,  -0.00119,   0.00119,  -0.00119,
103718 3RIVERS-N133  115  103725 N133_NORTH_T  115  1  ,103718,3RIVERS-N133,103725,N133_NORTH_T,1 ,115 ,101,NH_SEACOST_P,     216.0,     234.0,BO_R169,  2537,154.2,220.2,     94.12,1,  -0.00136,   0.00136,  -0.00136,
120389 NE_690_NY    69.0  125127 SMITHFLD     69.0  1  ,120389,NE_690_NY,125127,SMITHFLD,1 ,69 , 101/102,BORDER-BUS/NPCC_NYISO,      53.0,      61.0,BF_CAMPVL_4T,  3473,1.2,-57.3,     93.89,1,   0.00000,  -0.00000,  -0.00000,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BS_PRATTWHIT,  3162,143.6,209.6,     92.75,4,  -0.00119,   0.00119,  -0.00119,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,LN_140,  1273,143.6,209.6,     92.75,3,  -0.00119,   0.00119,  -0.00119,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BF_MGRD_1401,  4153,143.6,209.6,     92.75,2,  -0.00119,   0.00119,  -0.00119,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BO_140-2,  2396,143.6,207.8,     91.96,5,  -0.00119,   0.00119,  -0.00119,
116188 BERKSHRE PWR  115  116190 SOUTH AGAWAM  115  1  ,116188,BERKSHRE PWR,116190,SOUTH AGAWAM,1 ,115 ,101,MA_SPRGFLD_P,     293.0,     340.0,Base Case ,     0,269.3,    -    ,     91.91,0,   0.00000,  -0.00000,   0.00000,
